date,country,apl-driving,apl-transit,apl-walking
2020-03-04,AUT,111.11,,112.82
2020-03-05,AUT,111.25,,120.92
2020-03-06,AUT,123.46,,133.87
2020-03-07,AUT,121.17,,136.39
2020-03-08,AUT,109.52,,97.8
2020-03-09,AUT,102.15,,104.56
2020-03-10,AUT,98.85,,98.53
2020-03-11,AUT,92.94,,93.87
2020-03-12,AUT,86.76,,89.3
2020-03-13,AUT,86.98,,68.36
2020-03-14,AUT,64.33,,55.3
2020-03-15,AUT,49.07,,36.38
2020-03-16,AUT,40.52,,28.86
2020-03-17,AUT,37.03,,25.53
2020-03-18,AUT,37.41,,31.77
2020-03-19,AUT,36.14,,32.53
2020-03-20,AUT,34.41,,32.38
2020-03-21,AUT,24.83,,18.54
2020-03-22,AUT,27.11,,20.63
2020-03-23,AUT,33.29,,23.85
2020-03-24,AUT,33.44,,25.22
2020-03-25,AUT,33.69,,23.88
2020-03-26,AUT,34.36,,25.66
2020-03-27,AUT,35.61,,31.85
2020-03-28,AUT,32.88,,35.26
2020-03-29,AUT,32.93,,27.22
2020-03-30,AUT,35.85,,25.06
2020-03-31,AUT,38.57,,28.08
2020-04-01,AUT,39.62,,31.19
2020-04-02,AUT,40.34,,32.78
2020-04-03,AUT,38.34,,31.95
2020-04-04,AUT,33.05,,31.59
2020-04-05,AUT,39.2,,39.51
2020-04-06,AUT,44.15,,36.79
2020-04-07,AUT,46.62,,39.81
2020-04-08,AUT,47.85,,40.71
2020-04-09,AUT,48.81,,41.69
2020-04-10,AUT,45.09,,40.48
2020-04-11,AUT,36.78,,38.8
2020-04-12,AUT,35.06,,39.48
2020-04-13,AUT,42.33,,33.92
2020-04-14,AUT,51.14,,35.47
2020-04-15,AUT,53.88,,41.26
2020-04-16,AUT,56.02,,45.58
2020-04-17,AUT,54.07,,45.03
2020-04-18,AUT,45.63,,43.04
2020-04-19,AUT,45.82,,32.29
2020-04-20,AUT,58.87,,44.2
2020-04-21,AUT,59.22,,44.93
2020-04-22,AUT,60.21,,47.59
2020-04-23,AUT,60.76,,48.07
2020-04-24,AUT,57.52,,44.41
2020-04-25,AUT,50.31,,43.01
2020-04-26,AUT,57.18,,48.66
2020-04-27,AUT,60.96,,44.67
alternative_name,BEL,België,België,België
2020-01-13,BEL,100.0,100.0,100.0
2020-01-14,BEL,101.19,98.67,101.46
2020-01-15,BEL,107.49,105.01,110.44
2020-01-16,BEL,107.67,105.87,118.86
2020-01-17,BEL,117.38,113.55,139.1
2020-01-18,BEL,119.32,110.73,174.99
2020-01-19,BEL,102.68,100.53,111.72
2020-01-20,BEL,103.67,105.62,105.08
2020-01-21,BEL,107.83,110.39,113.37
2020-01-22,BEL,110.0,114.35,119.64
2020-01-23,BEL,108.65,111.03,118.63
2020-01-24,BEL,116.76,116.9,141.59
2020-01-25,BEL,120.76,116.25,174.68
2020-01-26,BEL,104.16,106.64,119.37
2020-01-27,BEL,105.12,113.29,115.72
2020-01-28,BEL,106.85,115.8,119.7
2020-01-29,BEL,111.21,117.19,127.83
2020-01-30,BEL,112.96,118.26,132.95
2020-01-31,BEL,127.96,126.13,160.33
2020-02-01,BEL,122.89,122.24,178.82
2020-02-02,BEL,104.88,115.06,118.45
2020-02-03,BEL,106.02,119.32,118.08
2020-02-04,BEL,109.17,117.23,117.56
2020-02-05,BEL,111.05,121.7,131.86
2020-02-06,BEL,111.1,121.67,137.37
2020-02-07,BEL,123.19,134.02,166.1
2020-02-08,BEL,129.25,134.78,195.81
2020-02-09,BEL,97.76,119.52,107.52
2020-02-10,BEL,109.52,132.55,125.29
2020-02-11,BEL,111.55,130.72,136.11
2020-02-12,BEL,115.6,130.33,141.76
2020-02-13,BEL,118.19,131.96,144.84
2020-02-14,BEL,131.29,139.68,195.2
2020-02-15,BEL,135.91,142.1,235.37
2020-02-16,BEL,110.6,123.14,135.03
2020-02-17,BEL,115.29,134.04,146.08
2020-02-18,BEL,120.26,139.53,156.85
2020-02-19,BEL,121.9,141.82,160.02
2020-02-20,BEL,123.29,138.11,163.25
2020-02-21,BEL,133.24,137.78,168.21
2020-02-22,BEL,123.59,126.99,189.77
2020-02-23,BEL,105.29,118.46,125.25
2020-02-24,BEL,116.44,136.73,145.88
2020-02-25,BEL,116.56,135.58,155.27
2020-02-26,BEL,118.01,136.45,147.4
2020-02-27,BEL,117.4,137.36,144.5
2020-02-28,BEL,125.62,133.34,159.23
2020-02-29,BEL,119.54,114.62,169.08
2020-03-01,BEL,103.95,108.56,113.57
2020-03-02,BEL,107.71,120.18,112.05
2020-03-03,BEL,108.25,123.09,129.9
2020-03-04,BEL,115.66,127.58,137.21
2020-03-05,BEL,118.33,132.54,136.47
2020-03-06,BEL,127.52,138.6,162.68
2020-03-07,BEL,129.93,134.85,209.67
2020-03-08,BEL,107.09,114.29,115.49
2020-03-09,BEL,108.15,118.1,118.11
2020-03-10,BEL,105.81,112.37,116.42
2020-03-11,BEL,105.97,115.74,119.12
2020-03-12,BEL,87.63,91.05,108.4
2020-03-13,BEL,81.16,71.94,91.05
2020-03-14,BEL,63.44,52.67,68.37
2020-03-15,BEL,56.86,46.28,59.68
2020-03-16,BEL,60.42,44.63,55.93
2020-03-17,BEL,56.34,37.76,55.2
2020-03-18,BEL,44.1,27.77,49.46
2020-03-19,BEL,38.45,23.0,41.63
2020-03-20,BEL,36.98,21.03,35.99
2020-03-21,BEL,32.06,21.05,47.51
2020-03-22,BEL,32.36,21.57,53.95
2020-03-23,BEL,36.3,22.47,44.24
2020-03-24,BEL,38.73,22.29,46.66
2020-03-25,BEL,38.62,21.31,48.17
2020-03-26,BEL,39.03,21.7,48.13
2020-03-27,BEL,40.38,22.19,51.28
2020-03-28,BEL,35.25,21.64,56.67
2020-03-29,BEL,29.76,18.76,34.5
2020-03-30,BEL,37.08,21.45,39.4
2020-03-31,BEL,39.0,21.28,45.78
2020-04-01,BEL,40.52,20.24,47.55
2020-04-02,BEL,39.51,19.84,41.01
2020-04-03,BEL,41.05,21.43,46.98
2020-04-04,BEL,38.02,23.19,62.98
2020-04-05,BEL,38.44,25.02,71.96
2020-04-06,BEL,43.29,23.97,53.38
2020-04-07,BEL,46.58,25.85,64.11
2020-04-08,BEL,48.56,26.39,66.82
2020-04-09,BEL,49.18,26.7,66.84
2020-04-10,BEL,51.57,26.55,73.06
2020-04-11,BEL,47.49,27.17,87.01
2020-04-12,BEL,37.88,26.24,73.26
2020-04-13,BEL,37.2,23.95,51.46
2020-04-14,BEL,46.52,26.06,53.49
2020-04-15,BEL,49.42,27.54,65.45
2020-04-16,BEL,51.74,26.97,70.6
2020-04-17,BEL,50.94,26.15,68.34
2020-04-18,BEL,41.76,22.72,53.51
2020-04-19,BEL,44.35,26.48,72.05
2020-04-20,BEL,50.04,26.57,59.11
2020-04-21,BEL,51.51,26.91,61.02
2020-04-22,BEL,54.36,27.99,66.65
2020-04-23,BEL,54.25,27.93,67.61
2020-04-24,BEL,52.29,26.32,65.62
2020-04-25,BEL,49.02,28.81,76.05
2020-04-26,BEL,49.02,29.93,83.69
