date,country,isolation
2020-02-29,RU-LIP,2.3
2020-03-01,RU-LIP,2.6
2020-03-02,RU-LIP,1.0
2020-03-03,RU-LIP,0.8
2020-03-04,RU-LIP,0.7
2020-03-05,RU-LIP,0.7
2020-03-06,RU-LIP,0.8
2020-03-07,RU-LIP,2.1
2020-03-08,RU-LIP,2.5
2020-03-09,RU-LIP,2.8
2020-03-10,RU-LIP,0.7
2020-03-11,RU-LIP,1.1
2020-03-12,RU-LIP,1.2
2020-03-13,RU-LIP,1.2
2020-03-14,RU-LIP,2.5
2020-03-15,RU-LIP,3.2
2020-03-16,RU-LIP,1.3
2020-03-17,RU-LIP,1.2
2020-03-18,RU-LIP,1.2
2020-03-19,RU-LIP,1.2
2020-03-20,RU-LIP,1.2
2020-03-21,RU-LIP,2.5
2020-03-22,RU-LIP,3.1
2020-03-23,RU-LIP,1.4
2020-03-24,RU-LIP,1.3
2020-03-25,RU-LIP,1.3
2020-03-26,RU-LIP,1.2
2020-03-27,RU-LIP,1.2
2020-03-28,RU-LIP,2.9
2020-03-29,RU-LIP,3.4
2020-03-30,RU-LIP,2.8
2020-03-31,RU-LIP,3.3
2020-04-01,RU-LIP,3.5
2020-04-02,RU-LIP,3.5
2020-04-03,RU-LIP,3.4
2020-04-04,RU-LIP,3.8
2020-04-05,RU-LIP,4.0
2020-04-06,RU-LIP,3.0
2020-04-07,RU-LIP,3.0
2020-04-08,RU-LIP,2.9
2020-04-09,RU-LIP,2.7
2020-04-10,RU-LIP,2.7
2020-04-11,RU-LIP,3.4
2020-04-12,RU-LIP,3.8
2020-04-13,RU-LIP,2.6
2020-04-14,RU-LIP,2.6
2020-04-15,RU-LIP,2.6
2020-04-16,RU-LIP,2.6
2020-04-17,RU-LIP,3.0
2020-04-18,RU-LIP,3.7
2020-04-19,RU-LIP,4.0
2020-02-23,RU-ORL,2.9
2020-02-24,RU-ORL,2.9
2020-02-25,RU-ORL,0.8
2020-02-26,RU-ORL,0.9
2020-02-27,RU-ORL,0.8
2020-02-28,RU-ORL,0.8
2020-02-29,RU-ORL,2.1
2020-03-01,RU-ORL,2.7
2020-03-02,RU-ORL,0.9
2020-03-03,RU-ORL,0.8
2020-03-04,RU-ORL,0.7
2020-03-05,RU-ORL,0.6
2020-03-06,RU-ORL,0.7
2020-03-07,RU-ORL,1.9
2020-03-08,RU-ORL,2.6
2020-03-09,RU-ORL,2.8
2020-03-10,RU-ORL,0.7
2020-03-11,RU-ORL,0.7
2020-03-12,RU-ORL,0.7
2020-03-13,RU-ORL,0.7
2020-03-14,RU-ORL,2.2
2020-03-15,RU-ORL,3.0
2020-03-16,RU-ORL,0.9
2020-03-17,RU-ORL,0.8
2020-03-18,RU-ORL,0.9
2020-03-19,RU-ORL,0.9
2020-03-20,RU-ORL,0.9
2020-03-21,RU-ORL,2.4
2020-03-22,RU-ORL,3.0
2020-03-23,RU-ORL,1.3
2020-03-24,RU-ORL,1.2
2020-03-25,RU-ORL,1.2
2020-03-26,RU-ORL,1.2
2020-03-27,RU-ORL,1.2
2020-03-28,RU-ORL,2.9
2020-03-29,RU-ORL,3.6
2020-03-30,RU-ORL,2.9
2020-03-31,RU-ORL,3.3
2020-04-01,RU-ORL,3.3
2020-04-02,RU-ORL,3.3
2020-04-03,RU-ORL,3.1
2020-04-04,RU-ORL,3.6
2020-04-05,RU-ORL,3.9
2020-04-06,RU-ORL,2.7
2020-04-07,RU-ORL,2.6
2020-04-08,RU-ORL,2.6
2020-04-09,RU-ORL,2.5
2020-04-10,RU-ORL,2.6
2020-04-11,RU-ORL,3.3
2020-04-12,RU-ORL,3.7
2020-04-13,RU-ORL,2.4
2020-04-14,RU-ORL,2.6
2020-04-15,RU-ORL,2.6
