date,city,value
2020-03-27,Новосибирск,1.4
2020-03-28,Новосибирск,3.0
2020-03-29,Новосибирск,3.5
2020-03-30,Новосибирск,2.6
2020-03-31,Новосибирск,2.6
2020-04-01,Новосибирск,3.4
2020-04-02,Новосибирск,3.4
2020-04-03,Новосибирск,3.3
2020-04-04,Новосибирск,3.8
2020-04-05,Новосибирск,3.9
2020-04-06,Новосибирск,2.6
2020-03-02,Омск,1.2
2020-03-03,Омск,1.1
2020-03-04,Омск,1.1
2020-03-05,Омск,1.1
2020-03-06,Омск,1.2
2020-03-07,Омск,2.5
2020-03-08,Омск,2.9
2020-03-09,Омск,3.1
2020-03-10,Омск,1.2
2020-03-11,Омск,1.1
2020-03-12,Омск,1.1
2020-03-13,Омск,1.1
2020-03-14,Омск,2.4
2020-03-15,Омск,3.1
2020-03-16,Омск,1.2
2020-03-17,Омск,1.2
2020-03-18,Омск,1.2
2020-03-19,Омск,1.3
2020-03-20,Омск,1.3
2020-03-21,Омск,2.7
2020-03-22,Омск,3.3
2020-03-23,Омск,1.5
2020-03-24,Омск,1.5
2020-03-25,Омск,1.5
2020-03-26,Омск,1.6
2020-03-27,Омск,1.6
2020-03-28,Омск,3.0
2020-03-29,Омск,3.7
2020-03-30,Омск,3.0
2020-03-31,Омск,3.1
2020-04-01,Омск,3.5
2020-04-02,Омск,3.8
2020-04-03,Омск,3.7
2020-04-04,Омск,4.1
2020-04-05,Омск,4.3
2020-04-06,Омск,3.4
2020-03-02,Минск,0.9
2020-03-03,Минск,0.8
2020-03-04,Минск,0.8
2020-03-05,Минск,0.8
2020-03-06,Минск,0.8
2020-03-07,Минск,2.6
2020-03-08,Минск,3.2
2020-03-09,Минск,1.0
2020-03-10,Минск,0.8
2020-03-11,Минск,0.8
2020-03-12,Минск,0.8
2020-03-13,Минск,0.9
2020-03-14,Минск,2.9
2020-03-15,Минск,3.5
2020-03-16,Минск,1.1
2020-03-17,Минск,1.2
2020-03-18,Минск,1.2
2020-03-19,Минск,1.3
2020-03-20,Минск,1.2
2020-03-21,Минск,3.0
2020-03-22,Минск,3.7
2020-03-23,Минск,1.4
2020-03-24,Минск,1.4
2020-03-25,Минск,1.3
2020-03-26,Минск,1.3
2020-03-27,Минск,1.3
2020-03-28,Минск,2.8
2020-03-29,Минск,3.4
2020-03-30,Минск,1.7
2020-03-31,Минск,1.6
2020-04-01,Минск,1.8
2020-04-02,Минск,1.9
2020-04-03,Минск,1.9
2020-04-04,Минск,2.8
2020-04-05,Минск,3.8
2020-04-06,Минск,2.0
2020-03-02,Нур-Султан,0.5
2020-03-03,Нур-Султан,0.5
2020-03-04,Нур-Султан,0.4
2020-03-05,Нур-Султан,0.4
2020-03-06,Нур-Султан,0.5
2020-03-07,Нур-Султан,1.6
2020-03-08,Нур-Султан,2.0
2020-03-09,Нур-Султан,2.0
2020-03-10,Нур-Султан,0.5
2020-03-11,Нур-Султан,0.4
